iter	Logloss
0	0.6895905375
1	0.6853985674
2	0.6811345557
3	0.6777428243
4	0.6743186853
5	0.6706569095
6	0.6676443409
7	0.6642849059
8	0.6613034664
9	0.6582429257
10	0.6553908385
11	0.6523947794
12	0.649517233
13	0.6472625454
14	0.6435950441
15	0.6403236042
16	0.6377446743
17	0.6351512916
18	0.6329327915
19	0.6302793743
20	0.6282098489
21	0.6259919047
22	0.6238956973
23	0.6215579062
24	0.6192649744
25	0.6168807678
26	0.6144466991
27	0.6116662642
28	0.6099921332
29	0.6085746501
30	0.6070509947
31	0.6049028685
32	0.6029882101
33	0.6004926616
34	0.5986951818
35	0.5970675776
36	0.5956893393
37	0.5937522235
38	0.5923466361
39	0.5911607864
40	0.5896319613
41	0.5882250954
42	0.5866123331
43	0.5847302491
44	0.5830975864
45	0.5814759857
46	0.579572834
47	0.5783520197
48	0.5760488041
49	0.5747959714
50	0.5734824926
51	0.5723883624
52	0.5711340288
53	0.5698173815
54	0.5683895591
55	0.5666845214
56	0.5657798336
57	0.5647890963
58	0.5636429917
59	0.5620549103
60	0.5607375404
61	0.559740077
62	0.558817212
63	0.5577341438
64	0.5564823116
65	0.5552398181
66	0.5539966576
67	0.5529305991
68	0.5517693191
69	0.5506999254
70	0.5496035717
71	0.548284145
72	0.5470751153
73	0.5462273492
74	0.545066625
75	0.5442871761
76	0.5427101566
77	0.5420374358
78	0.5412212434
79	0.5400930936
80	0.5391128623
81	0.5381165107
82	0.5374201095
83	0.5363866254
84	0.5353893843
85	0.5347378423
86	0.5336283699
87	0.5324016634
88	0.5316421147
89	0.5307986289
90	0.5298803222
91	0.5291132137
92	0.5282458252
93	0.5273803822
94	0.5265904272
95	0.5254467684
96	0.5246045055
97	0.5238252233
98	0.5232151497
99	0.5225440965
100	0.5216977201
101	0.5210213305
102	0.5203285982
103	0.5193383611
104	0.5184983773
105	0.5177323805
106	0.5169932881
107	0.5162304043
108	0.5151546179
109	0.5143091309
110	0.513168863
111	0.5124227666
112	0.5117040749
113	0.5109375222
114	0.5104336765
115	0.5098392229
116	0.5089449856
117	0.5082939996
118	0.507585925
119	0.50665122
120	0.5058970078
121	0.5050599701
122	0.5044140425
123	0.5037464913
124	0.5030412518
125	0.5022579673
126	0.501699201
127	0.5011047474
128	0.5002520341
129	0.4993149387
130	0.4984892965
131	0.4978874498
132	0.4972536403
133	0.4966122709
134	0.4961039781
135	0.4954532144
136	0.4949117914
137	0.4941131647
138	0.4933880804
139	0.4928787871
140	0.4919927211
141	0.4910139351
142	0.4900859562
143	0.4895108471
144	0.4891120619
145	0.4885008209
146	0.4878640097
147	0.4870901195
148	0.4865003909
149	0.4858668037
150	0.4853006999
151	0.4844500432
152	0.4839845529
153	0.4831577433
154	0.4826501732
155	0.4819454895
156	0.4813199069
157	0.4806110542
158	0.4800334993
159	0.4794165884
160	0.47893898
161	0.478429909
162	0.4778207803
163	0.4775347267
164	0.4768067518
165	0.4761616024
166	0.475544358
167	0.4750161649
168	0.4744733522
169	0.4738663915
170	0.4735163009
171	0.4731480333
172	0.4724983813
173	0.47181332
174	0.4712005226
175	0.4706666596
176	0.4701128961
177	0.4695233899
178	0.4688543935
179	0.4682626082
180	0.4675955573
181	0.4669977685
182	0.4664753009
183	0.4658272609
184	0.4652079042
185	0.4645391301
186	0.4640063232
187	0.4633582555
188	0.4626533216
189	0.4619234568
190	0.4613908723
191	0.4608766316
192	0.4605786266
193	0.4600691665
194	0.459432661
195	0.4589735354
196	0.4584644922
197	0.4580610376
198	0.4575724228
199	0.4569053441
200	0.4565068924
201	0.4556646017
202	0.4552268773
203	0.4546854822
204	0.4542895875
205	0.4537357129
206	0.4531566293
207	0.4526631506
208	0.4518423167
209	0.451313123
210	0.4508437693
211	0.4502097653
212	0.4496220934
213	0.449172112
214	0.4484856611
215	0.44812701
216	0.4476677177
217	0.4472416668
218	0.4467505783
219	0.4463228875
220	0.4456764318
221	0.4451652207
222	0.4446746882
223	0.4441595859
224	0.4436242498
225	0.4432307731
226	0.4426752587
227	0.4420190196
228	0.4412246454
229	0.4405507572
230	0.4399657814
231	0.4396323949
232	0.4390010035
233	0.4386605296
234	0.4383452369
235	0.4379160174
236	0.4374110043
237	0.4368183018
238	0.4364646814
239	0.4360864914
240	0.435600656
241	0.4351629038
242	0.4347439125
243	0.4341865359
244	0.4338131264
245	0.4332360718
246	0.4327409254
247	0.4323595669
248	0.4318940487
249	0.4312895895
250	0.4308805205
251	0.430392406
252	0.4299164652
253	0.4294092286
254	0.4286417866
255	0.4282105937
256	0.4276802605
257	0.4270279959
258	0.4264643101
259	0.4259352276
260	0.4253948608
261	0.4249506883
262	0.4243149054
263	0.423928266
264	0.4235155005
265	0.4231350869
266	0.4226616476
267	0.4221032426
268	0.4217897842
269	0.4212613132
270	0.4207801471
271	0.420247507
272	0.4199445269
273	0.4193737815
274	0.4190000941
275	0.4184502496
276	0.4180789802
277	0.4176981219
278	0.417282577
279	0.4167433497
280	0.4161822765
281	0.415751584
282	0.4152352588
283	0.4145686249
284	0.4142802365
285	0.413956161
286	0.4137056834
287	0.4131582569
288	0.412685429
289	0.4121200756
290	0.4116324336
291	0.411301632
292	0.41087005
