iter	Passed	Remaining
0	209	209396
1	396	197856
2	590	196311
3	789	196577
4	1013	201642
5	1203	199454
6	1400	198618
7	1592	197469
8	1789	197000
9	1980	196050
10	2176	195680
11	2370	195203
12	2574	195494
13	2793	196716
14	2991	196423
15	3185	195928
16	3380	195488
17	3581	195371
18	3765	194395
19	3952	193694
20	4137	192896
21	4324	192231
22	4508	191501
23	4707	191434
24	4898	191044
25	5092	190777
26	5281	190321
27	5477	190130
28	5665	189708
29	5853	189259
30	6033	188592
31	6220	188155
32	6403	187640
33	6588	187182
34	6775	186809
35	6963	186456
36	7153	186189
37	7353	186149
38	7547	185987
39	7732	185581
40	7916	185166
41	8104	184867
42	8284	184379
43	8471	184069
44	8658	183758
45	8844	183423
46	9033	183174
47	9256	183580
48	9445	183310
49	9635	183072
50	9819	182717
51	10004	182389
52	10188	182043
53	10373	181724
54	10556	181382
55	10740	181061
56	10927	180785
57	11126	180702
58	11314	180460
59	11507	180287
60	11692	179982
61	11876	179684
62	12059	179357
63	12243	179057
64	12426	178754
65	12608	178423
66	12793	178157
67	12982	177938
68	13167	177667
69	13359	177491
70	13546	177249
71	13731	176985
72	13914	176695
73	14105	176511
74	14285	176182
75	14465	175868
76	14654	175669
77	14846	175489
78	15032	175258
79	15226	175100
80	15412	174870
81	15603	174688
82	15787	174425
83	15972	174180
84	16154	173896
85	16339	173652
86	16522	173388
87	16712	173198
88	16899	172982
89	17094	172848
90	17286	172675
91	17479	172519
92	17668	172316
93	17868	172223
94	18063	172078
95	18248	171843
96	18433	171601
97	18624	171420
98	18818	171270
99	19039	171351
100	19230	171173
101	19433	171092
102	19624	170901
103	19810	170670
104	20012	170585
105	20199	170359
106	20385	170135
107	20581	169986
108	20766	169754
109	20950	169510
110	21152	169407
111	21346	169243
112	21534	169037
113	21720	168807
114	21905	168578
115	22103	168446
116	22290	168228
117	22473	167977
118	22665	167797
119	22848	167557
120	23054	167476
121	23241	167263
122	23435	167094
123	23621	166873
124	23810	166673
125	23992	166422
126	24174	166178
127	24355	165923
128	24540	165696
129	24726	165478
130	24919	165305
131	25111	165124
132	25300	164931
133	25497	164785
134	25688	164597
135	25872	164366
136	26053	164116
137	26234	163869
138	26418	163643
139	26599	163394
140	26790	163215
141	26975	162995
142	27162	162785
143	27350	162586
144	27539	162387
145	27724	162166
146	27906	161935
147	28088	161697
148	28272	161476
149	28459	161270
150	28644	161056
151	28833	160861
152	29030	160713
153	29236	160612
154	29437	160481
155	29638	160351
156	29827	160154
157	30031	160040
158	30223	159858
159	30431	159767
160	30632	159634
161	30829	159475
162	31023	159306
163	31228	159190
164	31416	158986
165	31610	158815
166	31796	158600
167	31982	158391
168	32175	158210
169	32366	158026
170	32549	157798
171	32739	157606
172	32928	157409
173	33119	157221
174	33309	157028
175	33511	156893
176	33696	156678
177	33879	156456
178	34062	156231
179	34249	156027
180	34433	155807
181	34619	155599
182	34807	155396
183	35000	155220
184	35187	155014
185	35377	154822
186	35567	154631
187	35753	154426
188	35936	154202
189	36121	153993
190	36308	153786
191	36495	153585
192	36687	153404
193	36873	153197
194	37062	153003
195	37254	152818
196	37442	152619
197	37628	152412
198	37810	152191
199	37997	151989
200	38179	151769
201	38364	151557
202	38554	151370
203	38747	151192
204	38948	151044
205	39144	150878
206	39338	150703
207	39536	150543
208	39723	150339
209	39920	150178
210	40120	150022
211	40309	149830
212	40522	149722
213	40728	149593
214	40927	149433
215	41128	149280
216	41314	149074
217	41511	148906
218	41704	148726
219	41906	148577
220	42094	148378
221	42285	148190
222	42494	148062
223	42685	147874
224	42873	147674
225	43064	147487
226	43253	147289
227	43443	147098
228	43630	146897
229	43820	146703
230	44001	146481
231	44189	146280
232	44373	146071
233	44562	145874
234	44779	145770
235	44968	145575
236	45160	145390
237	45345	145182
238	45535	144989
239	45716	144769
240	45898	144551
241	46082	144340
242	46266	144132
243	46450	143921
244	46637	143718
245	46823	143516
246	47012	143322
247	47198	143118
248	47390	142933
249	47575	142727
250	47762	142525
251	47944	142312
252	48127	142101
253	48309	141886
254	48492	141675
