,index,Model,Setting,Dropped feature,K,% Appropriate,% Too bad,% Too good,Appropriate (raw mean by sent),N distractors
0,1,XGBoost,AllFeats,—,3,59.870000000000005,27.63,12.5,1.4605,2.5132
1,3,CatBoost,VecsOnly,—,3,57.46,27.189999999999998,12.72,1.3158,2.2763
2,6,XGBoost,AllFeats,—,4,56.14,32.68,11.18,1.7368,3.2368
3,4,CatBoost,FeatDrop,Word2Vec vector of Ans,3,55.04,30.48,14.469999999999999,1.4605,2.6711
4,8,CatBoost,VecsOnly,—,4,53.620000000000005,31.47,12.280000000000001,1.5789,2.9079
5,11,XGBoost,AllFeats,—,5,53.55,35.77,10.68,1.9342,3.8947
6,0,Baseline,,—,3,53.06999999999999,33.33,13.600000000000001,1.5921,3.0
7,9,CatBoost,FeatDrop,Word2Vec vector of Ans,4,52.629999999999995,33.33,14.04,1.7763,3.4474
8,16,XGBoost,AllFeats,—,6,51.07000000000001,37.85,11.07,2.1184,4.5263
9,21,XGBoost,AllFeats,—,7,50.21,39.03,10.77,2.3684,5.1579
10,2,Random Forest,FreqsOnly,—,3,50.0,34.65,12.72,1.2763,2.4079
11,13,CatBoost,VecsOnly,—,5,49.76,36.82,12.11,1.8026,3.6579
12,5,Baseline,,—,4,49.01,38.16,12.83,1.9605,4.0
13,14,CatBoost,FeatDrop,Word2Vec vector of Ans,5,48.84,37.5,13.66,2.0,4.2368
14,26,XGBoost,AllFeats,—,8,48.59,40.63,10.780000000000001,2.6053,5.8816
15,18,CatBoost,VecsOnly,—,6,47.52,39.1,12.06,2.0,4.3421
16,19,CatBoost,FeatDrop,Word2Vec vector of Ans,6,47.15,39.21,13.639999999999999,2.2632,5.0
17,31,XGBoost,AllFeats,—,9,46.78,42.63,10.59,2.7632,6.5395
18,24,CatBoost,FeatDrop,Word2Vec vector of Ans,7,45.89,41.089999999999996,13.03,2.6053,5.8684
19,23,CatBoost,VecsOnly,—,7,45.6,41.19,11.89,2.2105,5.0526
20,29,CatBoost,FeatDrop,Word2Vec vector of Ans,8,45.540000000000006,42.27,12.19,2.8684,6.6053
21,10,Baseline,,—,5,45.26,42.370000000000005,12.370000000000001,2.2632,5.0
22,7,Random Forest,FreqsOnly,—,4,45.18,42.0,12.83,1.5263,3.1447
23,36,XGBoost,AllFeats,—,10,44.82,44.83,10.36,2.9211,7.2237
24,34,CatBoost,FeatDrop,Word2Vec vector of Ans,9,44.11,44.1,11.790000000000001,3.0263,7.2895
25,28,CatBoost,VecsOnly,—,8,43.8,43.01,11.87,2.3816,5.6974
26,41,XGBoost,AllFeats,—,11,42.78,46.61,10.61,3.0,7.8421
27,12,Random Forest,FreqsOnly,—,5,42.41,45.39,12.19,1.8026,3.9605
28,39,CatBoost,FeatDrop,Word2Vec vector of Ans,10,42.39,45.989999999999995,11.62,3.1711,7.9605
29,33,CatBoost,VecsOnly,—,9,42.34,44.82,11.53,2.5132,6.3421
30,15,Baseline,,—,6,42.32,45.39,12.280000000000001,2.5395,6.0
31,17,Random Forest,FreqsOnly,—,6,42.19,45.24,12.57,2.0526,4.6711
32,20,Baseline,,—,7,41.17,46.62,12.22,2.8816,7.0
33,46,XGBoost,AllFeats,—,12,40.9,48.74,10.36,3.0921,8.4737
34,22,Random Forest,FreqsOnly,—,7,40.87,46.42,12.7,2.3421,5.4342
35,44,CatBoost,FeatDrop,Word2Vec vector of Ans,11,40.77,47.699999999999996,11.53,3.25,8.6579
36,51,XGBoost,AllFeats,—,13,40.47,49.059999999999995,10.47,3.25,9.0921
37,38,CatBoost,VecsOnly,—,10,40.45,46.989999999999995,11.24,2.6316,7.0
38,27,Random Forest,FreqsOnly,—,8,39.89,47.96,12.15,2.6053,6.2237
39,25,Baseline,,—,8,39.64,48.19,12.17,3.1711,8.0
40,49,CatBoost,FeatDrop,Word2Vec vector of Ans,12,39.57,49.19,11.24,3.3553,9.3553
41,54,CatBoost,FeatDrop,Word2Vec vector of Ans,13,39.269999999999996,49.51,11.219999999999999,3.5789,10.0658
42,56,XGBoost,AllFeats,—,14,39.17,50.480000000000004,10.35,3.4079,9.8026
43,43,CatBoost,VecsOnly,—,11,39.050000000000004,48.44,11.19,2.7237,7.6842
44,32,Random Forest,FreqsOnly,—,9,38.769999999999996,49.32,11.91,2.7895,6.9211
45,59,CatBoost,FeatDrop,Word2Vec vector of Ans,14,38.51,50.739999999999995,10.75,3.7763,10.8421
46,48,CatBoost,VecsOnly,—,12,38.36,49.71,10.620000000000001,2.8026,8.2632
47,61,XGBoost,AllFeats,—,15,38.269999999999996,51.51,10.22,3.5132,10.4605
48,53,CatBoost,VecsOnly,—,13,38.080000000000005,51.370000000000005,10.54,2.9868,8.9474
49,30,Baseline,,—,9,38.01,50.14999999999999,11.84,3.4211,9.0
50,66,XGBoost,AllFeats,—,16,37.940000000000005,51.94,10.12,3.7237,11.1711
51,58,CatBoost,VecsOnly,—,14,37.88,51.980000000000004,10.13,3.1842,9.6447
52,64,CatBoost,FeatDrop,Word2Vec vector of Ans,15,37.82,51.739999999999995,10.440000000000001,3.9211,11.5921
53,37,Random Forest,FreqsOnly,—,10,37.72,50.74999999999999,11.53,2.9605,7.5921
54,69,CatBoost,FeatDrop,Word2Vec vector of Ans,16,37.51,51.82,10.67,4.1711,12.3947
55,71,XGBoost,AllFeats,—,17,37.36,52.49,10.15,3.8684,11.8553
56,63,CatBoost,VecsOnly,—,15,37.29,52.83,9.879999999999999,3.2895,10.3289
57,68,CatBoost,VecsOnly,—,16,36.809999999999995,52.83,10.36,3.5132,11.0658
58,35,Baseline,,—,10,36.18,52.239999999999995,11.58,3.6184,10.0
59,74,CatBoost,FeatDrop,Word2Vec vector of Ans,17,36.13,53.42,10.45,4.3026,13.1974
60,42,Random Forest,FreqsOnly,—,11,35.88,53.290000000000006,10.83,3.0132,8.2632
61,76,XGBoost,AllFeats,—,18,35.76,54.269999999999996,9.969999999999999,3.9079,12.5132
62,73,CatBoost,VecsOnly,—,17,35.3,54.61,10.09,3.6579,11.8421
63,81,XGBoost,AllFeats,—,19,34.97,55.410000000000004,9.629999999999999,4.0,13.1842
64,79,CatBoost,FeatDrop,Word2Vec vector of Ans,18,34.589999999999996,55.19,10.23,4.3421,14.0
65,47,Random Forest,FreqsOnly,—,12,34.35,55.04,10.620000000000001,3.1053,8.9474
66,40,Baseline,,—,11,34.089999999999996,54.43,11.48,3.75,11.0
67,84,CatBoost,FeatDrop,Word2Vec vector of Ans,19,33.97,56.02,10.01,4.4211,14.6842
68,86,XGBoost,AllFeats,—,20,33.93,56.74,9.32,4.0526,13.8158
