;Masked_sentence;Right_answer;Wrong_answer;Filename;Delete;variants;Appropriate;Too bad;Too good;Consistent;In duplicate names
153493; The amount of people who has no occupation in Middle East and Latin America decreased strongly, and the level of unemployment in Europe increased slightly. All in all, the level of unemployment all over the world remains [MASK].;stable;the same;exam/Exam2017/OBy_100-200/2017_OBy_120_1;0;['state', 'dependable', 'consistent', 'steady', 'prosperous', 'volatile', 'reliable', 'malleable', 'congenial', 'workable', 'labile', 'equilibrium', 'healthy', 'conformation', 'pliable', 'trustworthy', 'precarious', 'harmonious', 'viable', 'coherent'];['consistent', 'harmonious', 'coherent'];['state', 'dependable', 'prosperous', 'volatile', 'reliable', 'malleable', 'congenial', 'workable', 'labile', 'equilibrium', 'healthy', 'conformation', 'pliable', 'trustworthy', 'precarious', 'viable'];['steady'];True;False
83294;"Some politicians have come up with an idea to create a ""Guaranteed Basic Income"" system in the framework of which which a citizen gets a fixed sum of money monthly regardless of his or her another income that has already been established. A person may doubt and question the assumption whether the advantages outweigh the [MASK]. To give my own opinion I would like to consider this issue providing some arguments for and against the project.";disadvantages;backwards;exam/Exam2017/EGe_1-99/2017_EGe_19_2;0;['cons', 'limitations', 'shortcomings', 'weaknesses', 'risks', 'challenges', 'pitfalls', 'problems', 'benefits', 'consequences', 'dangers', 'characteristics', 'implications', 'hazards', 'flaws', 'difficulties', 'obstacles', 'alternatives', 'options', 'complexities'];['cons', 'limitations', 'weaknesses', 'pitfalls', 'problems', 'consequences', 'implications', 'difficulties', 'obstacles', 'complexities'];['benefits', 'characteristics', 'alternatives', 'options'];['shortcomings', 'risks', 'challenges', 'dangers', 'hazards', 'flaws'];True;False
77723; As for disadvantages, global warming and air pollution because of air transport harm our planet. Now let us consider the opinion that governments should reduce the [MASK] of flights. This situation has its advantages: air transport will pollute the atmosphere less, and there will be fewer air accidents.;number;amount;exam/Exam2016/2016_MTsy_8_2;0;['amount', 'quantity', 'level', 'part', 'value', 'member', 'count', 'rate', 'proportion', 'mark', 'category', 'portion', 'quality', 'mount', 'population', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad'];['amount', 'quantity', 'count', 'rate', 'multiplicity'];['level', 'part', 'value', 'member', 'mark', 'category', 'portion', 'quality', 'mount', 'population', 'handful', 'variety', 'myriad'];['proportion', 'multitude'];True;False
74220; It is slightly below 30°C in Yakutsk and 30°C in Rio de Janeiro. The line which shows the minimum temperatures in Russia also has an upward [MASK] and after its peak at 11°C it falls to -40°C. In the meantime, in Brazil the line of minimum temperatures fluctuates only between 15°C and 25°C. To sum up, I need to say that the average maximum and minimum temperatures in Russia and Brazil are completely different. There is a huge difference in their values and trends.;trend;tendency;exam/Exam2017/ESa_1-69/2017_ESa_69_1;0;['tendency', 'consistency', 'phenomenon', 'resurgence', 'craze', 'fad', 'decline', 'upsurge', 'pattern', 'paradigm', 'stagnation', 'stereotype', 'popularity', 'emergence', 'vogue', 'sentiment', 'downturn', 'tradition', 'shift', 'prevalence'];['tendency', 'upsurge', 'pattern', 'paradigm'];['consistency', 'phenomenon', 'resurgence', 'craze', 'fad', 'decline', 'stagnation', 'stereotype', 'popularity', 'emergence', 'vogue', 'sentiment', 'downturn', 'tradition', 'prevalence'];['shift'];True;False
53390; The number of men who are aged between 15 and 59 will be rising from 46,3% to 57,3% in Yemen but in Italy the number of men will be falling from 61,6% to 46,2%. The number of people who younger than 14 will be declining in both countries, in Italy this part will be above 11,5% , in Yemen the [MASK] of children will be falling to 24,1%. How we can see, the part of the population who are older than 60 will be increasing in number in Italy and Yemen.;number;part;exam/Exam2014/2014_EPa_22_1;0;['amount', 'quantity', 'level', 'value', 'member', 'count', 'rate', 'proportion', 'mark', 'category', 'portion', 'quality', 'mount', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad', 'total', 'backlog'];['amount', 'quantity', 'count', 'rate', 'portion', 'total'];['level', 'value', 'member', 'mark', 'category', 'quality', 'mount', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad', 'backlog'];['proportion'];True;False
159237;The given graphs describe the amount of Facebook users during a year between March 2012 and March 2013. The first graph compares the usage of mobile and desktop versions and the second graph shows the [MASK] reasons for using the network. The data is provided in millions of users per year and the percentage of participants naming one of the reasons, respectively.;possible;presumable;exam/Exam2016/2016_EKu_150_1;0;['able', 'available', 'feasible', 'necessary', 'practicable', 'plausible', 'potential', 'preferable', 'worthwhile', 'advisable', 'unlikely', 'probable', 'conceivable', 'suitable', 'desirable', 'viable', 'acceptable', 'useful', 'problematic', 'impractical'];['available', 'feasible', 'practicable', 'potential', 'suitable', 'viable', 'acceptable'];['able', 'necessary', 'preferable', 'worthwhile', 'advisable', 'unlikely', 'desirable', 'useful', 'problematic', 'impractical'];['plausible', 'probable', 'conceivable'];True;False
136331; Firstly, if a country produces its own food, has farms and develops meat and vegetable production, it will depend on the economic base of itself. It will have an increase on the economic [MASK] of the world. There are some opportunities to reduce money spending and raise the numbers of workforce.;market;niche;exam/Exam2017/ESa_1-69/2017_ESa_60_2;0;['niche', 'marketplace', 'economy', 'consumer', 'pricing', 'commodity', 'retailing', 'resale', 'retail', 'industry', 'stock', 'price', 'liquidity', 'export', 'profitability', 'business', 'retailer', 'premium', 'buyer', 'demand'];['niche', 'industry'];['economy', 'consumer', 'pricing', 'commodity', 'retailing', 'resale', 'retail', 'stock', 'price', 'liquidity', 'export', 'profitability', 'business', 'retailer', 'premium', 'buyer', 'demand'];['marketplace'];True;False
49472; It can be clearly seen that this type of network is more used by people from age group 18-29. Then [MASK] another group of people aged from 30 to 49. The second social network is Instagram.;comes;goes;exam/Exam2017/EGe_1-99/2017_EGe_97_1;0;['goes', 'brings', 'takes', 'falls', 'emerges', 'gets', 'originates', 'puts', 'pulls', 'disappears', 'derives', 'sees', 'sends', 'keeps', 'makes', 'wakes', 'arrives', 'pushes', 'receives', 'returns'];['goes', 'emerges', 'gets', 'arrives'];['brings', 'takes', 'falls', 'originates', 'puts', 'pulls', 'disappears', 'derives', 'sees', 'sends', 'keeps', 'makes', 'wakes', 'pushes', 'receives', 'returns'];[];True;False
145079;"There is no doubt that almost all people living on the Earth aim to be happy. But who can give a [MASK] definition to the word ""happiness""? In my point of view, nobody can offer it for some reasons.";proper;right;exam/Exam2014/2014_MGr_5_2;0;['right', 'adequate', 'appropriate', 'necessary', 'sufficient', 'formal', 'suitable', 'careful', 'reasonable', 'rudimentary', 'precise', 'correct', 'satisfactory', 'insufficient', 'decent', 'convenient', 'straightforward', 'inadequate', 'definite', 'meaningful'];['right', 'sufficient', 'careful', 'reasonable', 'convenient', 'definite', 'meaningful'];['necessary', 'rudimentary', 'insufficient', 'inadequate'];['adequate', 'appropriate', 'formal', 'suitable', 'precise', 'correct', 'satisfactory', 'decent', 'straightforward'];True;False
112217; Among the goods transported by road the biggest percentages had food products (30%) and manufactured goods. The [MASK] of chemicals was on 3% lower than non-metallic minerals (13%) and on 5% lower than metals (11%). The machinery was the smallest good transported by road.;percentage;percent;exam/Exam2017/OBy_1-99/2017_OBy_33_1;0;['percent', 'number', 'amount', 'quantity', 'part', 'point', 'proportion', 'volume', 'growth', 'level', 'date', 'portion', 'degree', 'data', 'rate', 'fraction', 'average', 'ratio', 'majority', 'margin'];['percent', 'number', 'amount', 'quantity', 'part', 'volume', 'level', 'portion', 'degree', 'rate', 'fraction', 'average', 'ratio'];['point', 'growth', 'date', 'data', 'majority', 'margin'];['proportion'];True;False
