;Masked_sentence;Right_answer;Wrong_answer;variants
153493; The amount of people who has no occupation in Middle East and Latin America decreased strongly, and the level of unemployment in Europe increased slightly. All in all, the level of unemployment all over the world remains [MASK].;stable;the same;['state', 'dependable', 'consistent', 'steady', 'prosperous', 'volatile', 'reliable', 'malleable', 'congenial', 'workable', 'labile', 'equilibrium', 'healthy', 'pliable', 'trustworthy', 'precarious', 'harmonious', 'viable', 'coherent']
55584; During the None six years the portion of rural households that had Internet access got much larger In 1999 the percentage of the households which had Internet access in rural areas equalled approximately 2%. From 1999 to 2002 the percentage of rural households with connection to the Web [MASK] by 5% each year. Then from 2003 to 2004 this percentage rose by 10% each year.;rose;raised;[]
83294;"Some politicians have come up with an idea to create a ""Guaranteed Basic Income"" system in the framework of which which a citizen gets a fixed sum of money monthly regardless of his or her another income that has already been established. A person may doubt and question the assumption whether the advantages outweigh the [MASK]. To give my own opinion I would like to consider this issue providing some arguments for and against the project.";disadvantages;backwards;['cons', 'limitations', 'shortcomings', 'weaknesses', 'risks', 'challenges', 'pitfalls', 'problems', 'benefits', 'consequences', 'dangers', 'characteristics', 'implications', 'hazards', 'flaws', 'difficulties', 'obstacles', 'alternatives', 'options']
77723; As for disadvantages, global warming and air pollution because of air transport harm our planet. Now let us consider the opinion that governments should reduce the [MASK] of flights. This situation has its advantages: air transport will pollute the atmosphere less, and there will be fewer air accidents.;number;amount;['amount', 'quantity', 'level', 'part', 'value', 'count', 'rate']
74220; It is slightly below 30°C in Yakutsk and 30°C in Rio de Janeiro. The line which shows the minimum temperatures in Russia also has an upward [MASK] and after its peak at 11°C it falls to -40°C. In the meantime, in Brazil the line of minimum temperatures fluctuates only between 15°C and 25°C. To sum up, I need to say that the average maximum and minimum temperatures in Russia and Brazil are completely different. There is a huge difference in their values and trends.;trend;tendency;['tendency', 'consistency', 'craze', 'fad', 'upsurge', 'pattern', 'paradigm', 'stagnation', 'stereotype', 'popularity', 'emergence', 'vogue', 'sentiment', 'downturn', 'tradition', 'shift']
61226;  Firstly, plain is the fastest type of transport. It is [MASK] thing for business, because for companies time is money. Secondly, it is the thing which can combine two or three transport in, because without it, you should travel by car or train, after that, on the ship or boat and by car, bus or train again.;important;the main;['essential', 'obvious', 'actual', 'big', 'crucial', 'interesting', 'noteworthy', 'indispensable', 'influential', 'valuable', 'invaluable', 'notable', 'useful', 'pivotal', 'relevant', 'emblematic']
53390; The number of men who are aged between 15 and 59 will be rising from 46,3% to 57,3% in Yemen but in Italy the number of men will be falling from 61,6% to 46,2%. The number of people who younger than 14 will be declining in both countries, in Italy this part will be above 11,5% , in Yemen the [MASK] of children will be falling to 24,1%. How we can see, the part of the population who are older than 60 will be increasing in number in Italy and Yemen.;number;part;['amount', 'quantity', 'level', 'value', 'count', 'proportion', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad', 'total', 'backlog']
159237;The given graphs describe the amount of Facebook users during a year between March 2012 and March 2013. The first graph compares the usage of mobile and desktop versions and the second graph shows the [MASK] reasons for using the network. The data is provided in millions of users per year and the percentage of participants naming one of the reasons, respectively.;possible;presumable;['available', 'able', 'feasible', 'necessary', 'practicable', 'plausible', 'potential', 'preferable', 'worthwhile', 'conceivable', 'suitable', 'desirable', 'acceptable', 'useful', 'problematic', 'impractical']
136331; Firstly, if a country produces its own food, has farms and develops meat and vegetable production, it will depend on the economic base of itself. It will have an increase on the economic [MASK] of the world. There are some opportunities to reduce money spending and raise the numbers of workforce.;market;niche;['niche', 'marketplace', 'economy', 'consumer', 'pricing', 'commodity', 'retailing', 'resale', 'industry', 'stock', 'liquidity', 'export', 'profitability', 'business', 'retailer', 'buyer', 'demand']
49472; It can be clearly seen that this type of network is more used by people from age group 18-29. Then [MASK] another group of people aged from 30 to 49. The second social network is Instagram.;comes;goes;['goes', 'brings', 'derives', 'sees', 'keeps', 'makes', 'wakes', 'arrives', 'returns']
145079;"There is no doubt that almost all people living on the Earth aim to be happy. But who can give a [MASK] definition to the word ""happiness""? In my point of view, nobody can offer it for some reasons.";proper;right;['right', 'adequate', 'appropriate', 'necessary', 'sufficient', 'formal', 'suitable', 'careful', 'reasonable', 'rudimentary', 'precise', 'correct', 'satisfactory', 'insufficient', 'decent', 'convenient', 'straightforward', 'inadequate', 'definite', 'meaningful']
112217; Among the goods transported by road the biggest percentages had food products (30%) and manufactured goods. The [MASK] of chemicals was on 3% lower than non-metallic minerals (13%) and on 5% lower than metals (11%). The machinery was the smallest good transported by road.;percentage;percent;['percent', 'number', 'amount', 'quantity', 'data', 'volume']
37867; On the other hand, companies should not be made responsible for the decisions of their customers. It is [MASK] to claim that everyone has rights which allow them to choose their lifestyle and whether to lead a healthy way of life or not because we are all free persons. What is more, customers who are, for instance, addicted to cigarettes, might actually be interested in brand-new flavours and so on.;reasonable;true;['true', 'worth', 'available', 'justifiable', 'sufficient', 'adequate', 'acceptable', 'proportionate', 'prudent', 'plausible', 'appropriate', 'sensible', 'rational', 'credible', 'lawful', 'necessary', 'decent']
51411; However, there was an increase in the percentages of boys and girls who maintained physical acivities regularly. The percentage of boys who did exercises remained [MASK] than that of girls . The percentages of both boys and girls went up slightly.;higher;bigger;['bigger', 'more', 'upper', 'steeper', 'weaker', 'larger', 'less', 'stronger', 'smaller', 'faster', 'lesser', 'narrower', 'thicker', 'richer', 'thinner', 'shallower']
