;idx;Masked_sentence;Right_answer;Wrong_answer;CatBoostFeatDrop Too good;CatBoostFeatDrop Too bad;CatBoostFeatDrop Appropriate;CatBoostVecsOnly Too good;CatBoostVecsOnly Too bad;CatBoostVecsOnly Appropriate;RandomForestFreqsOnly Too good;RandomForestFreqsOnly Too bad;RandomForestFreqsOnly Appropriate;XGBAllFeats Too good;XGBAllFeats Too bad;XGBAllFeats Appropriate
0;153493; The amount of people who has no occupation in Middle East and Latin America decreased strongly, and the level of unemployment in Europe increased slightly. All in all, the level of unemployment all over the world remains [MASK].;stable;the same;['steady'];['state', 'dependable'];['consistent'];['steady'];['state', 'dependable'];['consistent'];['steady'];['state', 'dependable'];['consistent'];['steady'];['state', 'dependable'];['consistent']
1;83294;"Some politicians have come up with an idea to create a ""Guaranteed Basic Income"" system in the framework of which which a citizen gets a fixed sum of money monthly regardless of his or her another income that has already been established. A person may doubt and question the assumption whether the advantages outweigh the [MASK]. To give my own opinion I would like to consider this issue providing some arguments for and against the project.";disadvantages;backwards;['shortcomings'];[];['limitations', 'cons'];['shortcomings'];[];['limitations', 'cons'];['shortcomings'];[];['limitations', 'cons'];['shortcomings'];[];['limitations', 'cons', 'weaknesses']
2;77723; As for disadvantages, global warming and air pollution because of air transport harm our planet. Now let us consider the opinion that governments should reduce the [MASK] of flights. This situation has its advantages: air transport will pollute the atmosphere less, and there will be fewer air accidents.;number;amount;[];['level', 'part'];['quantity', 'amount'];[];['value'];['quantity', 'count', 'amount'];[];['level', 'part'];['quantity', 'amount'];[];['level', 'part'];['quantity', 'amount']
3;74220; It is slightly below 30°C in Yakutsk and 30°C in Rio de Janeiro. The line which shows the minimum temperatures in Russia also has an upward [MASK] and after its peak at 11°C it falls to -40°C. In the meantime, in Brazil the line of minimum temperatures fluctuates only between 15°C and 25°C. To sum up, I need to say that the average maximum and minimum temperatures in Russia and Brazil are completely different. There is a huge difference in their values and trends.;trend;tendency;[];['consistency', 'resurgence', 'phenomenon'];['tendency'];[];['consistency', 'resurgence', 'phenomenon'];['tendency'];[];['consistency', 'resurgence', 'phenomenon'];['tendency'];[];['fad', 'craze', 'consistency'];['tendency']
4;53390; The number of men who are aged between 15 and 59 will be rising from 46,3% to 57,3% in Yemen but in Italy the number of men will be falling from 61,6% to 46,2%. The number of people who younger than 14 will be declining in both countries, in Italy this part will be above 11,5% , in Yemen the [MASK] of children will be falling to 24,1%. How we can see, the part of the population who are older than 60 will be increasing in number in Italy and Yemen.;number;part;[];['value', 'level'];['quantity', 'amount'];[];['value', 'multitude'];['quantity', 'amount'];[];['value', 'level'];['quantity', 'amount'];[];['value', 'level'];['quantity', 'amount']
5;159237;The given graphs describe the amount of Facebook users during a year between March 2012 and March 2013. The first graph compares the usage of mobile and desktop versions and the second graph shows the [MASK] reasons for using the network. The data is provided in millions of users per year and the percentage of participants naming one of the reasons, respectively.;possible;presumable;[];['able', 'necessary'];['available', 'feasible'];[];['able'];['available', 'feasible', 'practicable'];[];['able', 'necessary'];['available', 'feasible'];[];['able', 'necessary'];['available', 'feasible']
6;136331; Firstly, if a country produces its own food, has farms and develops meat and vegetable production, it will depend on the economic base of itself. It will have an increase on the economic [MASK] of the world. There are some opportunities to reduce money spending and raise the numbers of workforce.;market;niche;['marketplace'];['economy', 'consumer'];['niche'];[];['retailing', 'commodity', 'consumer'];['niche'];['marketplace'];['pricing', 'economy'];['niche'];['marketplace'];['economy', 'consumer'];['niche']
7;49472; It can be clearly seen that this type of network is more used by people from age group 18-29. Then [MASK] another group of people aged from 30 to 49. The second social network is Instagram.;comes;goes;[];['takes', 'brings', 'falls'];['goes'];[];['takes', 'brings', 'falls'];['goes'];[];['takes', 'brings', 'falls'];['goes'];[];['derives', 'brings', 'sees'];['goes']
8;145079;"There is no doubt that almost all people living on the Earth aim to be happy. But who can give a [MASK] definition to the word ""happiness""? In my point of view, nobody can offer it for some reasons.";proper;right;['adequate', 'appropriate'];['necessary'];['right'];['adequate', 'appropriate'];[];['right', 'sufficient'];['adequate', 'appropriate'];[];['right', 'sufficient'];['adequate', 'appropriate'];['necessary'];['right']
9;112217; Among the goods transported by road the biggest percentages had food products (30%) and manufactured goods. The [MASK] of chemicals was on 3% lower than non-metallic minerals (13%) and on 5% lower than metals (11%). The machinery was the smallest good transported by road.;percentage;percent;[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity']
10;37867; On the other hand, companies should not be made responsible for the decisions of their customers. It is [MASK] to claim that everyone has rights which allow them to choose their lifestyle and whether to lead a healthy way of life or not because we are all free persons. What is more, customers who are, for instance, addicted to cigarettes, might actually be interested in brand-new flavours and so on.;reasonable;true;['justifiable'];['available', 'worth'];['true'];['justifiable'];['available', 'worth'];['true'];['justifiable'];['available', 'worth'];['true'];['justifiable'];['available', 'worth'];['true']
11;51411; However, there was an increase in the percentages of boys and girls who maintained physical acivities regularly. The percentage of boys who did exercises remained [MASK] than that of girls . The percentages of both boys and girls went up slightly.;higher;bigger;['greater'];[];['more', 'upper', 'bigger'];[];['lower'];['more', 'upper', 'bigger'];[];['weaker', 'lower'];['more', 'upper'];[];['poorer'];['more', 'upper', 'bigger']
12;73260; According to the statistics, nowadays 30-35% of family's income is spent on education of children. What is more, many parents consider that it is more productive and useful for their child [MASK] different sport clubs or art and drama schools. That is why parents try to involve their child in every activities.;attending;visiting;[];['studying'];['visiting', 'enrolling', 'graduating'];[];['participating', 'studying'];['visiting', 'practicing'];[];['participating', 'studying'];['visiting', 'enrolling'];[];['studying'];['visiting', 'enrolling', 'graduating']
13;75261; Overall, it is crucially important that the number of children without access to primary education was decreasing over the years under observation. However, Africa in 2012 still had the biggest [MASK], which was equal to the number of children in South Asia in 2000. However, the main trend was positive.;number;amount;[];['level', 'part'];['quantity', 'amount'];[];['value'];['quantity', 'amount', 'multitude'];[];['level', 'part'];['quantity', 'amount'];[];['value', 'part'];['quantity', 'amount']
14;147504; However, those who deny these obvious facts mark the social reasons why the number of male and female accepted has to be equal. One of the most significant of them is that it is much easier to create a family when there is an equal number of male and female students in one [MASK]. In my opinion, the university is not the only place to meet your boy or girlfriend, hence, I find this argument not very convincing.;field;destination;['sphere'];['turf', 'fields'];['destination'];['sphere'];['kicking', 'goal', 'fields'];[];[];['turf', 'goal', 'fields'];['destination'];['sphere'];['turf', 'fields'];['destination']
15;139612; In the first diagram I can see that the metals were the most popular goods transported by rail, whereas in the second diagram I can see that food products were transported by road more often than other types of goods. The [MASK] percentage in the first diagram is attributed to chemicals, whereas in the second diagram we can see that machinery occupied this position. Manufactured goods do not have completely the same percentage on both diagrams.;lowest;least;['smallest'];['slowest', 'heaviest', 'densest'];[];[];['heaviest'];['weakest'];[];['biggest', 'highest'];[];['smallest'];['slowest', 'heaviest', 'hottest'];[]
16;70105; To begin with, the average temperature in Yakutsk in January is about - 36°, and it is a peak. By the way, the minimum rate is approximately the same and [MASK] - 40°. As for Rio de Janeiro, the gap between statistics is more marked and remains constant – the difference is about 8°.;constitutes;consists;[];['ranges'];['consists', 'encompasses', 'contains'];[];[];['consists', 'represents', 'encompasses', 'contains'];[];[];['consists', 'represents', 'encompasses', 'contains'];[];[];['consists', 'represents', 'encompasses', 'contains']
17;166891;The bar chart shows changes in the number of children without access to primary school education by gender and region from 2000 to 2012. It is clearly seen that the number of children without access to education [MASK] decreased. The most affected by the global development region was South Asia.;generally;commonly;['mostly'];['typically', 'usually'];['commonly'];['mostly'];['typically', 'usually'];['commonly'];[];['typically', 'normally', 'usually', 'often'];[];['mostly'];['typically', 'usually'];['commonly']
18;163703; For example, Starbucks Company, which is a multinational coffee shop chain, is hiring many locals in Africa and this results in the decline of the unemployment rate from 12% to 9%. It is essential to [MASK] that plenty of small coffee shops are also being opened. However, the employment numbers were too small to influence the unemployment rate.;note;notice;['admit'];['quote'];['tell', 'notice'];['admit'];['spot'];['tell', 'notice'];['admit'];['statement'];[];['admit', 'remark'];[];['tell', 'notice']
19;136326;Modern countries produce a lot of food for their citizens or for export and it is no news. I totally agree that a country should not import from other countries or import in little quantities , and there are some [MASK] for this point of view. Firstly, if a country produces its own food, has farms and develops meat and vegetable production, it will depend on the economic base of itself.;arguments;reasons;[];['ideas', 'assertions', 'minds', 'statements'];[];[];['ideas', 'assertions', 'minds', 'statements'];[];[];['ideas', 'assertions', 'minds'];['reasons'];[];['ideas', 'assertions', 'minds', 'statements'];[]
20;112011; Facebook, Instagram and Linkedin are among these networks. First two [MASK] (Facebook and Instagram) are showing downward slopping trend. The percentage of young men and women differs significantly from that of aged people.;sites;parts;[];['areas'];['nets', 'structures', 'parts'];[];['areas', 'monuments'];['nets', 'structures'];[];['locations', 'areas'];['structures', 'parts'];[];['locations', 'areas'];['nets', 'parts']
